,week_of,unique_artists_played,total_plays,bipoc_plays,male_plays,canadian_content_plays,cjsr_station_plays,cjsw_station_plays,ckxu_station_plays,cfuv_station_plays,cjsf_station_plays,cjum_station_plays,ckdu_station_plays,ciut_station_plays,cfre_station_plays,chrw_station_plays,chuo_station_plays,cilu_station_plays,ckut_station_plays,cfbx_station_plays,cfru_station_plays,cfmh_station_plays,cjam_station_plays,chsr_station_plays,chry_station_plays,cjlo_station_plays,chyz_station_plays,chly_station_plays,cscr_station_plays,cism_station_plays,cick_station_plays,cick_province_plays
133,2008-08-12,72,140,91,126,58,10,10,10,0,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
134,2008-08-19,72,140,96,127,57,10,10,10,10,10,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,0,0,0,0,0
135,2008-08-26,73,150,97,143,63,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
136,2008-09-02,63,100,71,96,32,0,10,10,10,0,10,0,10,0,10,0,10,0,0,0,0,10,0,0,10,10,0,0,0,0,0
137,2008-09-09,88,150,106,135,57,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
138,2008-09-16,89,140,100,127,50,10,10,10,10,10,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,0,0,0,0,0
139,2008-09-23,86,130,96,122,45,10,10,10,0,10,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,0,0,0,0,0,0
140,2008-09-30,75,110,78,106,35,10,10,10,10,0,10,0,10,0,0,10,10,10,0,0,0,0,0,0,10,10,0,0,0,0,0
141,2008-10-07,68,110,81,106,38,10,0,0,10,10,10,0,0,0,10,10,10,0,10,10,0,0,0,0,10,10,0,0,0,0,0
142,2008-10-14,53,100,64,97,31,0,10,0,10,0,10,0,10,0,10,10,10,0,0,0,0,10,0,0,10,10,0,0,0,0,0
143,2008-10-21,58,100,73,93,29,0,10,10,10,10,10,0,10,0,10,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0
144,2008-10-28,53,100,66,95,37,0,0,10,0,10,10,0,0,0,10,10,10,0,0,10,0,10,0,0,10,10,0,0,0,0,0
145,2008-11-04,74,130,93,119,43,10,10,0,10,10,10,0,0,0,10,10,10,10,10,10,0,0,0,0,10,10,0,0,0,0,0
146,2008-11-11,68,130,87,121,49,10,10,10,10,0,10,0,0,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
147,2008-11-18,77,140,100,128,49,10,10,10,10,0,10,0,0,0,10,10,10,10,10,0,0,10,0,0,10,10,0,10,0,0,0
148,2008-11-25,63,110,79,100,37,10,0,10,10,10,10,0,0,10,10,0,10,0,0,10,0,0,0,0,10,10,0,0,0,0,0
149,2008-12-02,88,160,114,143,55,10,10,10,10,10,10,0,0,10,10,10,10,0,10,10,0,10,0,0,10,10,0,10,0,0,0
150,2008-12-09,82,130,97,119,37,0,0,10,10,10,10,0,0,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
151,2008-12-16,34,40,28,33,15,0,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
152,2008-12-23,17,20,18,20,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
153,2008-12-30,10,10,8,10,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2009-01-06,34,40,35,36,14,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
155,2009-01-13,58,80,60,74,27,0,0,0,0,10,10,0,0,0,0,10,10,10,0,0,0,10,0,0,10,10,0,0,0,0,0
156,2009-01-20,79,130,89,109,54,10,10,10,0,10,10,0,0,0,10,10,10,0,10,10,0,10,0,0,10,10,0,0,0,0,0
157,2009-01-27,71,120,85,101,53,0,10,10,0,10,10,0,0,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
158,2009-02-03,62,100,74,86,40,0,10,10,0,0,10,0,0,10,0,10,10,0,10,0,0,10,0,0,10,10,0,0,0,0,0
159,2009-02-10,74,130,99,111,55,10,10,10,0,0,10,0,10,10,10,10,10,0,0,10,0,10,0,0,10,10,0,0,0,0,0
160,2009-02-17,73,120,87,97,57,10,10,10,0,10,10,0,10,0,0,10,10,0,10,10,0,0,0,0,10,10,0,0,0,0,0
161,2009-02-24,87,150,113,129,59,10,10,10,0,10,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,10,0,0,0
162,2009-03-03,88,160,121,137,57,10,10,10,0,10,10,0,10,10,10,10,10,0,10,10,0,10,0,0,10,10,0,10,0,0,0
163,2009-03-10,44,70,50,57,27,10,0,10,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,10,0,0,0
