,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
1893,five alarm funk,cdn,"vancouver, bc",yes,mixed group,male,True,True,9,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1894,paper tiger,us,"minneapolis, ms",no,white,male,False,False,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1895,gotham green & quickie mart,us,"los angeles, ca",yes,mixed group,male,False,True,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1896,laws,us,"spring hill, fl",yes,hispanic,male,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
1897,jodi boy,us,"palm bay, fl",yes,black,male,False,False,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1898,azrael,cdn,"vancouver, bc",yes,unknown,male,True,False,30,0.36666666666666664,0.13333333333333333,0.0,0.0,0.0,0.3,0.2,1,0,0,0,0,0,0,1,0,1,0,0
1899,radar,unknown,unknown,unknown,unknown,unknown,False,False,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1
1900,the franco proietti morph-tet,cdn,"montreal, qc",yes,mixed group,mixed,True,True,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0
1901,the goods,cdn,"halifax, ns",no,white,male,True,True,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1902,kemo treats,cdn,"edmonton, ab",no,white,male,True,True,7,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,1,0,0,0,0,1,0,0,0,1,0,0
