,ARTIST NAME(S),ARTIST HOME LATITUDE,ARTIST HOME LONGITUDE,ARTIST HOME CITY,ARTIST COUNTRY,LANGUAGE OF MUSIC,VISIBLE ETHNIC MINORITY,CENSUS RACE CLASSIFICATION,ARTIST GENDER,CANADIAN CONTENT,ALBUMS PLAYED,STATIONS PLAYED ON,MEAN CHART POSITION,TOTAL DAYS PLAYED,STATION cfbx,STATION cfmh,STATION cfre,STATION cfru,STATION cfuv,STATION chly,STATION chrw,STATION chry,STATION chsr,STATION chuo,STATION chyz,STATION cick,STATION cilu,STATION cism,STATION ciut,STATION cjam,STATION cjlo,STATION cjsf,STATION cjsr,STATION cjsw,STATION cjum,STATION ckdu,STATION ckut,STATION ckxu,STATION cscr,CHART POSITION 1,CHART POSITION 2,CHART POSITION 3,CHART POSITION 4,CHART POSITION 5,CHART POSITION 6,CHART POSITION 7,CHART POSITION 8,CHART POSITION 9,CHART POSITION 10
310,chi turner,49.25,-123.13,"vancouver, bc",cdn,english,yes,black,male,yes,1,4,6,8,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.125,0.125,0.25,0.0,0.125,0.125
311,chico mann,40.73,-74.08,"jersey city, nj",us,english,yes,hispanic,male,no,1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
312,chiddy bang,39.95,-75.16,"philadelphia, pa",us,english,yes,mixed group,male,no,1,4,9,5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.4
313,chief kamachi,39.95,-75.16,"philadelphia, pa",us,english,yes,black,male,no,1,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
314,chile,49.9,-119.48,"kelowna, bc",cdn,english,no,white,male,yes,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0
315,chin,43.66,-79.42,"toronto, on",cdn,english,yes,asian indian,male,yes,1,2,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
316,chin chin,40.65,-73.95,"brooklyn, ny",us,english,yes,mixed group,male group,no,2,5,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.05555555555555555,0.4444444444444444,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.1111111111111111
317,chinchilla,34.05,-118.24,"los angeles, ca",cdn,english,yes,mixed group,male group,no,1,1,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
318,choclair,43.66,-79.42,"toronto, on",cdn,english,yes,black,male,yes,1,1,4,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
319,choicemakerz,34.05,-118.24,"los angeles, ca",cdn,english,yes,mixed group,male group,no,1,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
320,chokeules,43.66,-79.42,"toronto, on",cdn,english,no,white,male,yes,1,11,6,53,0.05660377358490566,0.0,0.0,0.0,0.018867924528301886,0.0,0.2830188679245283,0.0,0.0,0.03773584905660377,0.07547169811320754,0.0,0.09433962264150944,0.0,0.09433962264150944,0.0,0.07547169811320754,0.0,0.0,0.03773584905660377,0.0,0.0,0.1509433962264151,0.07547169811320754,0.0,0.03773584905660377,0.05660377358490566,0.16981132075471697,0.03773584905660377,0.1320754716981132,0.03773584905660377,0.18867924528301888,0.16981132075471697,0.07547169811320754,0.09433962264150944
